@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,7-8,13-weka.filters.unsupervised.attribute.Remove-R8'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
UP,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
EQUAL,EQUAL,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,False,True,True,True,RIGHT
DOWN,RIGHT,True,True,True,False,False,UP
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,LEFT,True,False,False,True,False,DOWN
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,False,True,True,True,False,LEFT
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,True,False,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,False,True,False,LEFT
UP,RIGHT,True,True,False,True,False,RIGHT
DOWN,LEFT,True,True,True,False,False,UP
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,False,True,True,True,False,LEFT
UP,LEFT,True,False,True,True,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,True,False,False,LEFT
UP,LEFT,True,True,True,False,False,UP
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,True,UP
UP,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,False,True,True,False,UP
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,False,True,True,False,RIGHT
UP,LEFT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,RIGHT,False,True,True,True,False,LEFT
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,False,True,True,LEFT
DOWN,RIGHT,True,True,True,False,False,UP
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,True,DOWN
DOWN,RIGHT,True,True,False,True,False,RIGHT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,False,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,EQUAL,True,False,True,True,False,RIGHT
UP,LEFT,True,True,True,False,False,UP
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,False,False,True,False,RIGHT
UP,EQUAL,True,True,True,False,False,UP
EQUAL,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,False,True,False,DOWN
EQUAL,EQUAL,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,False,False,RIGHT
DOWN,LEFT,True,True,True,False,False,UP
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,True,True,False,False,RIGHT
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,True,RIGHT
UP,RIGHT,True,True,False,True,False,DOWN
DOWN,LEFT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,False,True,True,True,False,LEFT
EQUAL,EQUAL,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,False,True,True,True,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,True,False,False,UP
UP,EQUAL,True,False,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,True,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,False,True,True,False,DOWN
UP,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,False,True,True,True,False,UP
DOWN,RIGHT,True,False,False,True,False,RIGHT
UP,RIGHT,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
EQUAL,EQUAL,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
EQUAL,LEFT,False,True,True,False,True,LEFT
DOWN,RIGHT,True,True,False,True,True,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,True,False,False,UP
DOWN,EQUAL,True,False,True,True,True,DOWN
DOWN,RIGHT,True,False,True,True,False,DOWN
DOWN,EQUAL,False,True,True,True,True,LEFT
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
UP,EQUAL,False,True,True,True,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
UP,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,False,True,True,RIGHT
UP,LEFT,True,True,True,False,False,UP
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,False,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,False,False,RIGHT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,True,False,False,UP
EQUAL,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
EQUAL,EQUAL,False,True,True,False,False,UP
EQUAL,EQUAL,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,RIGHT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,False,False,RIGHT
DOWN,EQUAL,True,False,True,True,False,RIGHT
EQUAL,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,True,True,False,False,UP
DOWN,LEFT,True,True,True,False,False,UP
UP,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,False,False,RIGHT
UP,LEFT,False,True,True,True,False,LEFT
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,True,False,True,False,DOWN
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,False,True,True,False,UP
DOWN,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,False,True,False,RIGHT
DOWN,EQUAL,True,True,False,True,False,DOWN
EQUAL,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,LEFT,False,True,True,True,False,LEFT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,False,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
UP,EQUAL,True,True,True,False,False,UP
EQUAL,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,True,RIGHT
UP,LEFT,True,True,False,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,False,True,True,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
UP,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
UP,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,LEFT,False,True,True,True,False,LEFT
EQUAL,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,LEFT,True,False,True,True,False,DOWN
UP,RIGHT,True,False,True,True,True,RIGHT
DOWN,RIGHT,False,True,True,True,False,LEFT
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,True,False,True,False,RIGHT
UP,RIGHT,False,True,True,True,False,UP
UP,LEFT,True,True,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
UP,LEFT,True,True,True,False,False,UP
EQUAL,EQUAL,True,True,False,True,False,DOWN
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,True,False,True,True,False,DOWN
DOWN,RIGHT,True,True,True,False,True,RIGHT
DOWN,EQUAL,True,False,False,True,True,DOWN
UP,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
EQUAL,LEFT,False,True,True,False,True,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
EQUAL,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,DOWN
DOWN,EQUAL,True,True,False,True,False,DOWN
EQUAL,EQUAL,False,True,True,True,False,LEFT
UP,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
EQUAL,EQUAL,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,False,True,True,False,False,UP
DOWN,RIGHT,True,False,False,True,True,RIGHT
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
EQUAL,LEFT,True,True,True,False,False,UP
EQUAL,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,True,True,True,False,False,UP
UP,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,True,False,False,UP
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,False,False,RIGHT
UP,LEFT,True,False,False,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,True,True,False,False,UP
EQUAL,LEFT,False,True,True,True,False,LEFT
EQUAL,EQUAL,False,True,True,True,False,LEFT
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,EQUAL,True,True,False,True,False,DOWN
UP,RIGHT,True,True,False,True,False,RIGHT
UP,LEFT,True,True,True,False,False,UP
UP,RIGHT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,RIGHT,True,False,False,True,True,RIGHT
EQUAL,EQUAL,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,True,RIGHT
EQUAL,RIGHT,True,True,False,True,False,DOWN
EQUAL,LEFT,True,True,False,True,False,LEFT
DOWN,EQUAL,True,True,False,True,True,DOWN
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,LEFT,True,True,False,True,True,DOWN
EQUAL,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,False,False,True,False,RIGHT
UP,LEFT,True,True,True,False,False,UP
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,EQUAL,False,True,True,True,False,LEFT
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,RIGHT,False,True,True,True,False,DOWN
DOWN,RIGHT,True,False,True,True,True,RIGHT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,False,False,RIGHT
DOWN,LEFT,True,True,False,True,False,DOWN
UP,RIGHT,True,False,True,False,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,RIGHT,False,True,True,True,False,LEFT
DOWN,RIGHT,True,True,False,True,False,DOWN
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,True,True,False,True,False,DOWN
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
EQUAL,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,True,False,False,False,RIGHT
UP,RIGHT,True,False,True,False,False,RIGHT
DOWN,EQUAL,True,False,True,True,False,DOWN
DOWN,LEFT,True,True,False,True,False,DOWN
DOWN,RIGHT,True,True,True,False,False,UP
EQUAL,RIGHT,True,False,True,True,False,RIGHT
UP,EQUAL,True,False,True,True,False,UP
DOWN,RIGHT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
EQUAL,RIGHT,True,True,False,True,False,RIGHT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,True,False,True,False,DOWN
UP,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,True,False,True,True,False,RIGHT
DOWN,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,RIGHT,False,True,True,True,False,DOWN
DOWN,LEFT,False,True,True,True,False,LEFT
UP,EQUAL,True,True,True,False,False,UP
DOWN,LEFT,False,True,True,True,False,LEFT
DOWN,EQUAL,False,True,True,True,False,DOWN
UP,RIGHT,False,True,True,True,False,LEFT
UP,LEFT,True,True,True,False,False,UP
DOWN,RIGHT,False,True,True,True,False,LEFT
UP,RIGHT,True,False,True,True,False,RIGHT
DOWN,RIGHT,True,False,True,True,False,RIGHT
